"KC_FCC","n","AveRoadLength","TotalRoadMiles","AveADT","AveMediumVehicles","AveHeavyVehicles","SegmentsWithSWData","PctConveyed","SegmentsWithAggrSWData","Aggr_PctConveyed","PctOverwater","RdSkirtPctImp"
"Local",69910,0.0870501338377449,6085.67485659675,479.389548324484,10.5915753784903,2.79974333198944,29491,78.6476200308003,69584,76.5417978355461,0.0209819736610724,33.5382901873838
"Collector",7269,0.104683835750024,760.946802066922,3244.2517400871,74.4557321344224,10.8345431970919,3042,89.8412802484053,7218,89.2737461238913,0.0410767810258604,31.3829651946623
"Minor",5780,0.106324847158301,614.557616574981,8258.29685816714,219.237719935092,38.8582681962978,3002,92.3090924575153,5778,90.3501638213191,0.0529786747227347,40.1270539792388
"Primary",4925,0.13151197769868,647.696490166,18817.5475283185,633.146512174033,134.895612093591,2996,86.4737953262871,4914,87.7893760566978,0.153253652927476,44.6907937055838
"Freeway",1425,0.433850025196832,618.236285905486,29993.8100412654,1932.20407075655,1381.98949143912,1115,60.2183506532106,1424,55.8842015716556,0.827002989310294,14.8905424561404
